Date,RATE
2012-01-31,0.0005499999970197678
2012-02-29,-0.002058988734242684
2012-03-31,-0.0038317927409286766
2012-04-30,-0.00021544893244691105
2012-05-31,4.289692252219975e-05
2012-06-30,-0.0014271715100862537
2012-07-31,-0.0017777777628766066
2012-08-31,-0.0008120498525551766
2012-09-30,-0.0013123893447680233
2012-10-31,-0.0006056291718553554
2012-11-30,-0.0009028925321813208
2012-12-31,-0.00405044004251419
2013-01-31,-0.0048264512834255945
2013-02-28,-0.0006339869132034081
2013-03-31,0.0044564165068814755
2013-04-30,0.002087554603034194
2013-05-31,-0.000793493719116709
2013-06-30,-0.0029768978767219156
2013-07-31,-0.0040549265173206095
2013-08-31,-0.0030520325247954806
2013-09-30,0.0011304970275155225
2013-10-31,-0.00021083288442742544
2013-11-30,-0.0021527027056829073
2013-12-31,-0.003682668453479101
2014-01-31,-0.0020470746130776883
2014-02-28,-0.001712474543511533
2014-03-31,-0.00132342062203608
2014-04-30,-0.004068943440969654
2014-05-31,-0.003419447403092377
2014-06-30,-0.0008587612538085843
2014-07-31,-0.00034882073752127594
2014-08-31,-0.0029912473650426197
2014-09-30,-0.005138703896158611
2014-10-31,-0.004686981131814534
2014-11-30,4.999999888241291e-05
2014-12-31,0.0008916484137406577
2015-01-31,-0.004125365345585195
2015-02-28,-0.003558253634453745
2015-03-31,-0.002857198339102176
2015-04-30,0.0005662622601111078
2015-05-31,-0.00048652892535893777
2015-06-30,-0.006095147136979735
2015-07-31,-0.005577003608274742
2015-08-31,-0.01373848546633793
2015-09-30,-0.0014590543270733035
2015-10-31,0.005702601744639418
2015-11-30,0.0017000000178813935
2015-12-31,-0.00457754667451578
2016-01-31,0.002498243972696468
2016-02-29,0.0015754864426889446
2016-03-31,-0.0030775112299454756
2016-04-30,-0.0010595365848688942
2016-05-31,0.00034614498083465487
2016-06-30,-0.0029709415667947335
2016-07-31,-0.002035682655911302
2016-08-31,0.008106771272929811
2016-09-30,0.007037869727117854
2016-10-31,0.002454705168523077
2016-11-30,-0.0007655446069075381
2016-12-31,0.003140718750417006
2017-01-31,0.001121649454130731
2017-02-28,2.9878584975948433e-05
2017-03-31,0.004379337272888107
2017-04-30,0.0036670056972686726
2017-05-31,0.007183248169828359
2017-06-30,0.008149403860957749
2017-07-31,0.010221719024118165
2017-08-31,0.005542446461415445
2017-09-30,0.007196762140109598
2017-10-31,0.0033711159896016793
2017-11-30,0.009481985801126944
2017-12-31,0.010102295113764521
2018-01-31,0.011882172597539337
2018-02-28,0.012601972499056958
2018-03-31,0.014385618550645018
2018-04-30,0.011712508457823772
2018-05-31,0.008221765037832816
2018-06-30,0.011658555200795274
2018-07-31,0.02133847587085179
2018-08-31,0.01969490898528199
2018-09-30,0.03009843751850293
2018-10-31,0.04048547824820814
2018-11-30,0.03131352327678359
2018-12-31,0.020469228181901392
2019-01-31,0.019757338489505793
2019-02-28,0.024817281826570222
2019-03-31,0.02227291816705681
2019-04-30,0.022208506386253796
2019-05-31,0.014630387581716277
2019-06-30,0.020647966312937006
2019-07-31,0.01695154633610471
2019-08-31,0.017399112451886963
2019-09-30,0.014698068010561352
2019-10-31,0.011631409667724402
2019-11-30,0.014879823218887527
2019-12-31,0.014401267740691637
2020-01-31,0.016051776554378783
2020-02-29,0.011968632054542586
2020-03-31,6.995946015257102e-05
2020-04-30,0.0014197720720271968
2020-05-31,0.0016987952193405543
2020-06-30,-0.0005192534880387001
2020-07-31,-0.0006313635112900684
2020-08-31,-0.0006652494348822469
2020-09-30,-0.0026318462858709334
2020-10-31,-0.001703841655075262
2020-11-30,-0.00326657631702596
2020-12-31,-0.002593042224212052
2021-01-31,-0.002734474625891865
2021-02-28,-0.004823548205343684
2021-03-31,-0.004564098972416994
2021-04-30,-0.003151714734246909
2021-05-31,8.000000379979611e-05
2021-06-30,-0.0022200368406977413
2021-07-31,-0.002754462175359489
2021-08-31,-0.001771547867025074
2021-09-30,-0.0003952075183766546
2021-10-31,-0.001367850050954562
2021-11-30,0.00024229151401751638
2021-12-31,-0.002394196055884823
