,0
0,0.0
1,0.0
2,0.0
3,0.19681465513755708
4,0.0
5,0.0
6,0.04114552436172712
7,0.008215786383407604
8,0.0
9,-0.005469859279494391
10,0.0
11,0.0
12,-0.05008311953698689
13,0.0
14,0.00566570932692548
15,0.0
16,0.0
17,0.0
18,0.0
19,-0.06977896286999527
20,0.0
21,0.0
22,0.0
23,0.044681270346695015
24,0.0
25,0.0068822076775442815
26,0.0
27,-0.023412972228707793
28,0.0
29,0.0
30,-0.0994186080769346
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.01049133883830203
40,0.0
41,0.0
42,0.0
43,0.0
44,0.02224179850229875
45,0.0
46,-0.12172909321668855
47,0.0
48,0.0
49,0.00857960528782686
50,0.014830447406460277
51,-0.057467544120569376
52,0.0
53,0.0
54,0.0
55,0.0
56,0.02432423618722333
57,0.0
58,0.006865380264832964
59,-0.018447383389817815
60,0.0
61,0.042053428565512925
62,-0.09838582957475378
63,0.0
64,0.0
65,0.0
66,-0.14306602746013977
67,-0.009698825711182468
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.009054190719633731
78,0.06503048916867138
79,0.0
80,0.0
81,0.03370538050231785
82,0.0
83,0.04040099867757771
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.02751418430147243
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.001259199633180441
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,-0.0197592794892969
108,0.0
109,0.05550970886518397
110,0.0
111,0.0
112,-0.03331940475529742
113,-0.019375962546425006
114,0.0
115,0.0
116,-0.028786883788861906
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,-0.03570416076004191
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,-0.16785143684189427
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0343653583741947
138,0.009793103009857997
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,-0.007788126427339828
146,-0.008670940829012253
147,0.027400601043229625
148,-0.004680962033269141
149,0.0
150,0.0
151,0.0
152,0.0
153,-0.0677238612001478
154,0.0
155,-0.009603147871732578
156,0.0
157,0.03070002000636089
158,0.0
159,0.0
160,0.0
161,0.01988191671818934
162,-0.006984429126311878
163,0.0
164,0.0
165,0.0
166,-0.049338728655958806
167,0.0164973240640986
168,0.06084918556451497
169,0.0
170,0.008513071530528306
171,0.021652877110203098
172,0.0
173,0.02860159782259741
174,-0.003597605000927387
175,0.0007724271380942702
176,0.01987760270244777
177,-0.03090516711824589
178,-0.01434561159866635
179,0.0
180,0.0
181,0.0
182,0.06568825307449931
183,0.0
184,0.012773415179062308
185,0.012341668965462464
186,0.0
187,0.10670693816004766
188,0.0
189,-0.0175261434831835
190,0.0
191,0.001005323459451884
192,0.0
193,0.0
194,0.0
195,-0.03460165435655239
196,0.0
197,0.0
198,0.0
199,0.0
