Date,AAPL,ADBE,ADI,ADP,ADSK,ALGN,AMD,AMGN,AMZN,ANSS,ASML,AVGO,BIDU,BIIB,BKNG,CDNS,CDW,CHKP,CHTR,CMCSA,COST,CPRT,CSCO,CSX,CTAS,CTSH,DLTR,EA,EBAY,EXC,FAST,GILD,GOOG,GOOGL,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,KDP,KLAC,LRCX,LULU,MCHP,MDLZ,MELI,MNST,MRVL,MSFT,MTCH,MU,NFLX,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,PEP,QCOM,REGN,ROST,SBUX,SIRI,SNPS,SWKS,TMUS,TSLA,TTWO,TXN,VRSK,VRSN,VRTX,WBA,WDAY,WDC,XEL
2012-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-29,0.18831074525271152,0.0626816988331711,0.0020442705057881483,-0.00839735357020266,0.05138884650336362,0.08701193509671334,0.09538000936619029,0.006557058194718746,-0.07585889544072666,0.04447013642035613,0.05954858492177961,0.10813231729207673,0.07198871194194711,-0.012547653801029734,0.18419613219475606,0.11458333239260354,0.0,0.03322080123414839,0.10010410338067954,0.10647122741183002,0.0490450782247871,0.05824825277299461,0.011705178686017614,-0.06310217816980146,0.03963308180263225,-0.011149671546672901,0.04374998762922511,-0.1205595185833227,0.13101235829789593,-0.004732817550922808,0.1285342900587909,-0.06794903204537628,0.06574617463457177,0.06574614953774227,0.044152926552118776,0.01371324875669444,-0.011762448962058136,-0.041808002631063435,0.025540939461885515,0.024805305833931257,0.11243504518190339,-0.019834608137574428,-0.0464530368231596,-0.020896728951825927,0.06161881053596052,-0.013107991681551856,-0.006005803399686482,0.11338667606127228,0.09424934104215366,-0.0347490236834459,0.08191487001715014,0.058741610727319093,0.12499998402913692,-0.07878538326075946,0.0964234042250669,0.025727884340662976,0.16815815641890364,0.06121945445946109,-0.006664690511555715,0.0452833999833262,-0.03371270893786671,0.06076203538101188,0.15331279123487862,0.052228238938749394,0.016934007342917834,0.0865384845907402,0.04456630900447056,0.24976815259002483,0.16515833584052553,0.14929469065926915,-0.00961542106003832,0.02995656876601105,0.08587135609051066,-0.002429809675036032,0.053315219630029054,0.0005051054139173505,0.0,0.07977970430372827,-0.0041352269775609685
2012-03-31,0.10528335925943955,0.04317427819988029,0.038531174592534745,0.02351971952385523,0.11809779130531184,0.07575160407941728,0.09115653902373722,-0.0005882116324187336,0.12699647200473074,0.029123082130467992,0.10076834805168877,0.03980310021816691,0.06634972587199739,0.08182363423555006,0.14430156943473693,0.005947297544754537,0.0,0.09766162861206618,0.0006308297685475583,0.02040101840918518,0.05507762100254965,0.047408611253985544,0.06388273414708379,0.024274100956115374,0.014522972456324057,0.08456671587288334,0.06756293733147722,0.009179800291427842,0.03245683998211368,0.007277672954880021,0.026955128898460412,0.07290269993977883,0.03718557025124647,0.037185584465184496,0.02242635791757852,0.01982503729728502,0.02653659727515234,0.13797171455806412,0.04613107709424202,0.04011061741036248,0.05889130549007038,0.06614585904374604,0.12461223685025291,0.07002355285172324,0.11504039242092134,0.03132726438654698,0.006029643917854655,0.0060096421071760275,0.08586921812413562,0.04866666023348021,0.01638321643761298,0.07653511122698475,-0.05263133387400498,0.03892355531515279,0.10835539495582425,0.01650170067035206,0.07298363921732198,0.05606934652163109,-0.009904001767406911,0.017822517934353188,0.05417882502004279,0.09456428956527341,0.11289246805705266,0.08944281737120341,0.1509468529593052,0.022123991166437262,0.006235659282550099,0.02521326591977191,-0.12427181884122729,0.11463660465642023,-0.0038834606267375005,0.007796358168994599,0.07977015219921446,0.03788897651622847,0.05369990367202848,0.009951751518868734,0.0,0.05452258889819661,0.009248831649665057
2012-04-30,-0.025969101446184806,-0.02215103776772509,-0.03514859818662075,0.007791231876101312,-0.0697070128594599,0.15099818376096485,-0.08229430007206062,0.04619691330676301,0.14512869305691556,0.03152880894490817,0.02889233217796816,-0.11521726040996139,-0.08966184359705032,0.06357138497488846,0.060376287129076056,-0.014358114366813446,0.0,-0.08944234133497553,-0.04696610727193118,0.016852656595096827,-0.02885428278773494,0.013041816515839466,-0.04319637542811294,0.03578050758830864,0.0012782312574535215,-0.04704349933026797,0.07588110869340015,-0.06731344445283016,0.1116531256855191,-0.0051006996127710424,-0.13146942032655906,0.06467464579915672,-0.05674943795735943,-0.05674942953242701,0.014006386228317513,0.0054888893503071134,-0.15358300203982256,0.17409330275514057,0.009957070582464311,-0.03396235035159034,0.06728200921543581,0.009202048450520417,-0.042080060452541646,-0.06611328372187208,-0.007895141720616783,-0.049193478659970924,0.04893436122956274,-0.010737409583723045,0.04686741718331566,-0.045772347399436475,-0.00743937172375686,-0.019148541803658548,-0.18641985846244513,-0.30337277060603396,0.03821013732598244,-0.15584411200661386,-0.028560310620840634,0.1548987603966685,-0.0003227824924668665,-0.08285289903024473,-0.0052752552693626775,-0.06215096505813089,0.15983528829748916,0.05851999287709497,0.0264807310082944,-0.02164511483698739,-0.021200248589862136,-0.0184448117621826,-0.19068734030606938,-0.11036515683190151,-0.08317093294938493,-0.04460758535429943,0.04215428176013236,0.07196876782388761,-0.06169224293697284,0.04687937417754351,0.0,-0.062334229687464715,0.022289249136005607
2012-05-31,-0.010702838784502067,-0.07451564998065363,-0.05930949793061424,-0.062387827381947814,-0.18669033968828774,-0.015137166701192584,-0.1739130688299524,-0.017361804961274596,-0.08188875050079214,-0.07738181974540093,-0.1015885152810031,-0.04002317559906754,-0.1125094246309517,-0.02432650280177162,-0.1778738608256738,-0.12596403234091824,0.0,-0.11852742582225162,0.036877782325442476,-0.04744651885644524,-0.01705746346068504,0.02650514074153043,-0.18997991657612556,-0.05662818694934135,-0.0579525476363989,-0.20564572588804564,0.014951766558247037,-0.1144344831153773,-0.04461262485336415,-0.04272096487432442,-0.055318293690715725,-0.03979249375436256,-0.039662724249631354,-0.03966272947911975,-0.031665386929953354,-0.03514163489776845,-0.03301139560527677,-0.05957636321978632,-0.08354538523896482,-0.03001551501723798,-0.09529575396097778,0.01675692660729111,-0.11465779048171065,-0.10487175621399203,-0.020231993692320316,-0.11319434676883777,-0.04013008368025017,-0.27393009110200717,0.1169231449104644,-0.16522337856707525,-0.08240100638480474,-0.06708200887980542,-0.11380879685386813,-0.20838535116713064,0.03381965058599712,-0.04384648511959388,-0.18336562483676844,-0.09203790601395878,-0.02238832939761104,-0.12074695236686317,0.03607046952858406,-0.09828555353186541,0.0028833314023883894,0.028129898732085712,-0.040291795728055635,-0.16371700752554275,-0.015328256858144984,-0.010317209830917773,-0.12328766360991728,-0.10956834118448533,-0.18355770814550754,-0.10832780421443755,-0.02145023008914071,-0.07005597239981665,0.5602911026448005,-0.12347552519593319,0.0,-0.1911876942184525,0.035476826803989336
2012-06-30,0.010853617214550138,0.04251206851073608,0.03574363732449304,0.0755056491067434,0.09275456521684733,0.07140568603660769,-0.05756577451060663,0.04876277067391355,0.07251884325323021,0.019877173901183154,0.12246242459146317,0.08939267080606239,-0.023690187362309545,0.10424477921845132,0.06239915005767038,0.0774509781005519,0.0,-0.03220143387646113,0.1303030603545332,0.11168347820514657,0.09966440162192924,-0.12615271115073556,0.051439053820179215,0.07036877645084916,0.04634134631738962,0.030042945075539063,0.042837741382751204,-0.0932450659735119,0.0719573550891206,0.017306633109379854,-0.0886275634505338,0.02662658883033564,-0.0013600495977761362,-0.0013600454214494073,0.05625083410408527,0.13307403822323227,-0.062006546643974536,0.06522765517749396,0.03134681350707336,0.055486224672665285,0.058669467154691235,0.06875638203050616,0.0746233159712506,0.011796289076915212,-0.17910240130573563,0.06640903563967471,0.016955923220728808,0.08075570171434099,-0.019283766966141425,-0.09523674961900574,0.047962107584810454,0.015138012648483912,0.08047937874137934,0.07960281146329806,-0.05628589046722987,0.11182659985463284,0.10042626315607395,-0.12548287042048167,0.048048226449775466,0.043119079630712154,0.04141488678866301,-0.02844201483073283,-0.1579800489496126,-0.009827206939388877,-0.028602487932910647,-0.021163884665740706,-0.004060877664398332,0.017125767936310154,-0.054687470955413486,0.060677738621238264,-0.17881947376385765,0.007373390807151159,0.02839253406203368,0.13968088455476657,-0.06862096408657004,-0.030799565044556942,0.0,-0.028990235064183523,0.023440952116925207
2012-07-31,0.04582139600225288,-0.046030269394000456,0.03743029436745626,0.015989905995410947,-0.030580264595413742,0.014943216188909814,-0.2914485289240848,0.13290386765350837,0.021677287456954186,-0.0499128742737206,0.11824197755423027,0.027855414710060256,0.04818223277429334,0.01004292075913904,-0.004183538670383902,0.11191997466124604,0.0,-0.020568672204580363,0.08536750653159908,0.018141879997263466,0.0124209131601416,0.0029548203143172636,-0.06670564092007114,0.025939252083109432,0.026418211394110935,-0.05383335963738778,-0.06431225155276976,-0.10769237562550549,0.05451084087228075,0.03987239282623767,0.07447500051676537,0.059477551500723314,0.09119587088679326,0.09119589987995846,-0.046884920425907195,-0.08280452836681662,0.026739337642364136,0.10088101018557749,-0.035647105172764815,-0.019956179694856746,-0.13053685352345834,0.04182883991272823,0.03370555742547432,-0.08823549353480298,-0.0528257834890975,0.009068706485463318,0.028223665261671416,-0.11860155567915309,-0.06713486717379635,-0.0017726888258826623,-0.03661324670510857,0.1537280907130225,-0.015847845540309602,-0.16995171433648226,-0.10263396929909585,-0.020260558232460757,-0.027550597916139896,0.023516787628595104,0.05091689358856377,0.020923247581236204,0.02929504528194693,0.0718388581144982,0.17886528153948378,0.06355029999937689,-0.15078802401434255,0.16756781121458486,0.02922190286896864,0.058931611292240005,0.4479338655888674,-0.12368169724771694,-0.07188163873506492,-0.04453548360245463,0.0200973862171403,0.01950880147061529,-0.13251073122400758,0.22920886528981121,0.0,0.30479038499493494,0.0313267391849501
2012-08-31,0.09387665438349369,0.012629576023194033,0.024661171997373277,0.027055479323866427,-0.0846108221347821,-0.0002944146585025509,-0.0837438224042294,0.020447822547443373,0.06416629856391287,0.1624415946045572,-0.012695679915768254,-0.00894339012498968,-0.07534014648665799,0.005211509958810812,-0.08639340930329675,0.0801963601326996,0.0,-0.051060316199684985,0.011440521369744161,0.03010774187689691,0.020500283488602777,0.12415819979685461,0.19623863027158794,-0.014848131561048028,0.01993432761053926,0.132288181563206,-0.04310691253605459,0.2096188601788629,0.07155734892506316,-0.054992553595300864,-0.0006953552177039191,0.06184421948431562,0.08234207244755076,0.08234196520095871,0.026734375425642165,0.07814448829233611,0.014709442787453675,-0.19927969539207002,-0.025388753897050753,0.008962365230902547,0.021370718412310197,-0.01689341711494241,0.015534543508863408,-0.00813701364227104,0.15421393360062785,0.05137061619378036,0.04532840489575274,0.1911387522358743,-0.11261670665149515,-0.09769080210188086,0.0527371510186192,-0.014635989514897196,0.0,0.05048370490337173,-0.014012772493902426,0.03618899814098997,0.03231523703636574,-0.009213913403433471,0.017436890176784292,0.002378866142545899,-0.004124784573533713,0.029825965917748443,0.09951733949260366,0.04349095705385353,0.09988571224954024,0.17129628620192228,0.09045882406576444,0.05288602048068025,0.11073051389898247,0.04011653556144279,0.16742600361462134,0.06607915335789616,-0.034427616813484385,0.07339041581747718,0.0993610322880989,-0.008869117961243456,0.0,0.05154605794533129,-0.04812295353505458
2012-09-30,0.0027957380052447967,0.037415994621606385,-0.014091953213231534,0.01681256523267316,0.07407405132285216,0.08895435610889213,-0.09408605923637736,0.00440934296840334,0.024368612817364577,0.05308471649409485,-0.05443041790707315,-0.04214212677846774,0.0489052120319875,0.017873050286033365,0.02398392630277435,-0.0249999945813959,0.0,0.04491212167435821,-0.035218578222178554,0.0659115797993508,0.023398607229020207,0.03818796303728167,0.0010477116475124948,-0.07613545389320187,0.024987429474562006,0.08727409098665828,0.0024912341943870153,-0.048011991382253316,0.018959406728065176,-0.024403856048829442,-0.00232108303118872,0.149765944095277,0.10131510113926989,0.10131511025076212,0.03137615065800414,0.045129402753067094,0.1451995373048005,-0.09795107293363658,-0.08739465657515089,0.005808183088474639,0.007808203360666122,0.0013441683039745467,-0.07016173075969123,-0.06885432084817644,0.13422303531687452,-0.05784137654487642,0.0034331078848530705,0.038717664293244525,-0.08279598944168887,-0.09309617967447203,-0.034393007602537384,0.004243814181385863,-0.03703699360223622,-0.08841265203135484,0.07816394008448424,-0.04918009827408998,0.07246992270707597,-0.015656200699694978,0.0009023921618516173,0.0027559267190724324,-0.01561151759435464,0.020629979918657115,0.03113813249122277,-0.06648383678400416,0.022172726739995152,0.02371492551205323,-0.0012109325555030859,-0.22652668751926253,0.20349428436499384,0.026648171667929876,0.01853654442763908,-0.05096411286845204,-0.01875517057266174,0.021182850567716294,0.04800295276012978,0.019015536382398723,0.0,-0.0680116637262681,0.003272696784286433
2012-10-31,-0.10759987837102025,0.049013570280449725,-0.0015313675187191844,-0.014831536004335621,-0.04497745611039039,-0.2813092015819282,-0.3916913881508367,0.02609960011843304,-0.08426390830086672,-0.04291555123153912,0.02421781658163491,-0.052767498248348366,-0.08691929237544849,-0.07372159711174175,-0.07317420571193722,-0.017094037994177635,0.0,-0.07558138291489291,0.031308369037464256,0.05489460572760052,-0.017272277340319553,0.03822579844173801,-0.09544293598487341,-0.013494102465570479,0.009172541659454803,-0.046358404108922446,-0.1743632599711793,-0.026792676240294022,-0.0022738432962424726,0.0056212880151431666,0.04479551084958566,0.012814669954856361,-0.09834322477864144,-0.09834320290534226,-0.06904820829670844,-0.031706105427867004,-0.014318295214197363,-0.11578943419689203,-0.04545391702046875,0.01215867926980918,0.09400156688673733,-0.037727293588990296,-0.024313521459796705,0.11390816330638631,-0.06897492473789302,-0.04276134371505358,-0.036891154158230965,0.017201664992757326,-0.17406582787078717,-0.1386459660935433,-0.04099462696212208,-0.07126400027177204,-0.09197335452708277,0.45554732535570075,-0.03811874900348877,-0.10194923650727461,-0.029988134185524595,0.02666820921182289,-0.016276067015349005,0.08370837858124958,-0.021619546651216792,-0.06179017094822181,-0.0678632278385235,-0.05635554514378893,-0.09485300512711137,0.08108131813685926,-0.023946677033453767,-0.007215353005933789,-0.1280956328135121,-0.03927616266766931,0.06800766922261747,0.026685681421199314,0.07372365351228471,-0.238652685554002,-0.13616032731181305,-0.03320492751420845,inf,-0.11618877564145003,0.01948755651964862
